Qubit,T1(us),T2(us),Single qubit fidelity,Frequency(GHz),CZ fidelity
0,69.45,12.319,0.9,4.473,"0_1: 0"
1,86.015,7.041,0.995,4.073,"1_0: 0
1_2: 0"
2,75.448,8.28,0.998,4.407,"2_1: 0
2_3: 0.96
2_15: 0.96"
3,58.816,24.881,0.999,3.929,"3_2: 0.96
3_4: 0.97"
4,35.625,23.724,0.998,4.459,"4_3: 0.97
4_5: 0.97"
5,26.141,10.683,0.998,4.052,"5_4: 0.97
5_6: 0.9"
6,40.629,10.087,0.998,4.39,"6_5: 0.9
6_7: 0.97
6_19: 0"
7,38.454,5.942,0.999,4.031,"7_6: 0.97
7_8: 0.9"
8,19.076,7.638,0.999,4.411,"8_7: 0.9
8_9: 0"
9,64.882,15.499,0.999,4.161,"9_8: 0
9_10: 0"
10,80.817,30.566,0.996,4.463,"10_9: 0
10_11: 0.96
10_23: 0.979"
11,120.404,14.622,0.998,4.099,"11_10: 0.96
11_12: 0"
12,68.646,18.661,0,4.431,"12_11: 0"
13,93.036,12.289,0.975,3.866,"13_14: 0
13_26: 0.98"
14,78.201,25.84,0.998,4.364,"14_13: 0
14_15: 0.9"
15,104.205,16,0.999,4.008,"15_2: 0.96
15_14: 0.9
15_16: 0.98"
16,37.728,26.322,0.997,4.319,"16_15: 0.98
16_17: 0.98"
17,74.412,57.043,0.999,3.907,"17_16: 0.98
17_18: 0
17_30: 0.978"
18,49.66,13.252,0.998,4.436,"18_17: 0
18_19: 0"
19,46.191,5.469,0.998,3.978,"19_6: 0
19_18: 0
19_20: 0"
20,48.425,10.98,0.962,4.352,"20_19: 0
20_21: 0"
21,60.866,6.277,0.999,3.987,"21_20: 0
21_22: 0.988
21_34: 0.983"
22,78.365,40.27,0.999,4.428,"22_21: 0.988
22_23: 0.986"
23,107.354,58.385,0.999,4.061,"23_10: 0.979
23_22: 0.986
23_24: 0.988"
24,67.095,18.636,0.999,4.362,"24_23: 0.988
24_25: 0.97"
25,132.743,6.451,0.998,3.981,"25_24: 0.97
25_38: 0.96"
26,59.738,12.256,0.969,4.505,"26_13: 0.98
26_27: 0.986"
27,104.584,13.916,0.999,4.207,"27_26: 0.986
27_28: 0"
28,67.591,33.73,0.999,4.361,"28_27: 0
28_29: 0.987
28_41: 0.982"
29,40.451,13.612,0.999,4.072,"29_28: 0.987
29_30: 0.97"
30,225.225,20.043,0.998,4.438,"30_17: 0.978
30_29: 0.97
30_31: 0.97"
31,66.732,1.688,0.999,4.026,"31_30: 0.97
31_32: 0"
32,49.257,2.799,0.998,4.399,"32_31: 0
32_33: 0.979
32_45: 0.985"
33,76.676,34.231,0.999,3.983,"33_32: 0.979
33_34: 0.95"
34,31.307,13.069,0.999,4.441,"34_21: 0.983
34_33: 0.95
34_35: 0.96"
35,4.441,60.643,0.996,3.993,"35_34: 0.96
35_36: 0"
36,49.722,23.943,0.999,4.468,"36_35: 0
36_37: 0
36_49: 0.976"
37,71.507,6.816,0.999,4.099,"37_36: 0
37_38: 0.96"
38,63.846,16.05,0.999,4.478,"38_25: 0.96
38_37: 0.96"
39,122.704,49.029,0.999,3.944,"39_40: 0.985
39_52: 0.978"
40,69.649,2.824,0.999,4.266,"40_39: 0.985
40_41: 0.97"
41,96.753,32.947,0.999,3.94,"41_28: 0.982
41_40: 0.97
41_42: 0.985"
